LUA_MENU/MAPNAME_FARM_18,Farm 18
LUA_MENU/MAPNAME_GRANDPRIX,Crown Raceway
LUA_MENU/MAPNAME_MP_JUP_AFGHAN_V2,Afghan
LUA_MENU/MAPNAME_MP_JUP_BIGMAP,Urzikstan
LUA_MENU/MAPNAME_MP_JUP_DERAIL,Derail
LUA_MENU/MAPNAME_MP_JUP_ESTATE,Estate
LUA_MENU/MAPNAME_MP_JUP_FAVELA,Favela
LUA_MENU/MAPNAME_MP_JUP_GW_FALLOUT,Confront Zakhaev
LUA_MENU/MAPNAME_MP_JUP_HIGHRISE,Highrise
LUA_MENU/MAPNAME_MP_JUP_INVASION,Invasion
LUA_MENU/MAPNAME_MP_JUP_KARACHI,Karachi
LUA_MENU/MAPNAME_MP_JUP_LAUNCHFACILITY,Operation Spearhead
LUA_MENU/MAPNAME_MP_JUP_QUARRY,Quarry
LUA_MENU/MAPNAME_MP_JUP_RESORT_GW,Test Site
LUA_MENU/MAPNAME_MP_JUP_RESORT_GW_WZ,Levin Resort
LUA_MENU/MAPNAME_MP_JUP_RUNDOWN,Rundown
LUA_MENU/MAPNAME_MP_JUP_RUST,Rust
LUA_MENU/MAPNAME_MP_JUP_SCRAPYARD,Scrapyard
LUA_MENU/MAPNAME_MP_JUP_SKIDROW,Skidrow
LUA_MENU/MAPNAME_MP_JUP_ST_C_GW,Exfil Dr. Jansen
LUA_MENU/MAPNAME_MP_JUP_ST_C_GW_WZ,Orlov Military Base
LUA_MENU/MAPNAME_MP_JUP_SUBBASE,Sub Base
LUA_MENU/MAPNAME_MP_JUP_TERMINAL,Terminal
LUA_MENU/MAPNAME_MP_JUP_UNDERPASS,Underpass
LUA_MENU/MAPNAME_MP_JUP_WASTELAND,Wasteland
LUA_MENU/MAPNAME_SHIPMENT,Shipment
LUA_MENU/MAPNAME_SHOOTHOUSE2,Shoot House
LUA_MENU/MAPNAME_SWAP_MEET,Mercado Las Almas
