image_shg_2023,logo,,320,80
BLANK,blank,,,
BLANK,blank,,,
BLANK,blank,,,
CREDITS/DEPT_LEADERSHIP,dept,,,
Aaron Halon,string,,,
Andy Wilson,string,,,
Greg Palstra,string,,,
Liz Wyle,string,,,
BLANK,blank,,,
CREDITS/DEPT_ANIMATION,dept,,,
Anthony Yarotskyy,string,,,
Cameron Kerr,string,,,
Chris Yearn,string,,,
Christopher Smith,string,,,
Colin O'Connor,string,,,
Conant Fong,string,,,
Drew Wooldridge,string,,,
Ethan Urban,string,,,
Hamish Goodger,string,,,
Hannah H Park,string,,,
Jake Loverso,string,,,
Jason Wong,string,,,
Jerry Trent,string,,,
Jonathan Mack,string,,,
Jordan Abeles,string,,,
Jules Ujc,string,,,
Justin Ewell,string,,,
Kaitlyn Johnson,string,,,
Karen Kwak,string,,,
Michael Rivera,string,,,
Ned Curwood-Hyde,string,,,
Nestor Angeles,string,,,
Olivier Zurcher,string,,,
Randy Ignacio,string,,,
Ryan Hood,string,,,
T.J. Phan,string,,,
William Ho,string,,,
William Vera,string,,,
CREDITS/DEPT_ART,dept,,,
Adam Dudley,string,,,
Adrian Grist,string,,,
Alex Charnes,string,,,
Alex Hallenbeck,string,,,
Alissa Ding （丁思宇）,string,,,
Andrew Arthur,string,,,
Andrew Gebert,string,,,
Andrey Shramenko,string,,,
Andy Melo,string,,,
Angie Lai,string,,,
Angus Ayres,string,,,
Anthony Fordham,string,,,
Ashlee Hynes,string,,,
Bradley Kachel,string,,,
Brandon Le,string,,,
Cassandra Watts,string,,,
Charlie Managhan,string,,,
Chi Lao,string,,,
Chris Webb,string,,,
Christian Son Hermosilla,string,,,
Christopher Widdowson,string,,,
Cristian León,string,,,
Daisuke Imai,string,,,
Dana Mcnamara,string,,,
Daniel Carrodus,string,,,
Daniel Molina,string,,,
Daniel Walsh,string,,,
David Karis,string,,,
David Milligan,string,,,
Dio Lee,string,,,
Donald Madsen,string,,,
Donnie Oliver,string,,,
Elkanah Hoch,string,,,
Ernesto Guaman,string,,,
Ethan Pflugh,string,,,
Evan Yates,string,,,
Garth Travis,string,,,
Gen Leo Li,string,,,
Gil John Rodriguez,string,,,
Greta Miller,string,,,
Hamish Ames,string,,,
Harry Ridgeway,string,,,
Herbert Lowis,string,,,
Isabella Deacon,string,,,
Jack Ferris,string,,,
Jason Babler,string,,,
Jason Sander,string,,,
Jeff Martin,string,,,
Joe Salud,string,,,
Jon Riva,string,,,
Jordan Peters,string,,,
Joseph Taylor,string,,,
Juan Carlos Solon,string,,,
Kai Li,string,,,
Kevin Wilson,string,,,
Krisztian Szadoczki,string,,,
Laurence Hester,string,,,
Leigh Smith,string,,,
Liam Henderson,string,,,
Liz Du,string,,,
Logan Medved,string,,,
Lotem Sason,string,,,
Louie Peregrino,string,,,
Luc Fontenoy,string,,,
Lukas Stratmann,string,,,
Luke Kopycinski,string,,,
Lylah D'Souza,string,,,
Marco Manola,string,,,
Mario Cortez,string,,,
Mark Benko,string,,,
Mark Bolak,string,,,
Mark Quimoyog,string,,,
Mathew Makin,string,,,
Matt Abbott,string,,,
Matthew Bein,string,,,
Maxim Stupak,string,,,
Melvin Philip,string,,,
Michael Mañalac,string,,,
Michael Robertson,string,,,
Michael Zaguirre,string,,,
Mindy Goto,string,,,
Mingho Tong,string,,,
Nathan Thomas,string,,,
Nils Meyer,string,,,
Ofek Maymoni,string,,,
Okan Beyit,string,,,
Olivier Pflaum,string,,,
Patricia Dobbins,string,,,
Pedro Alves,string,,,
Pedro Colon Colon,string,,,
Peter Santha,string,,,
Raveen Pathirana,string,,,
Rebecca Cohen-Palacios,string,,,
Richard Healy,string,,,
Robert Adcock,string,,,
Robert Howell,string,,,
Ryan Ferriera,string,,,
Sami Bashir,string,,,
Samuel De Vos,string,,,
Scott Salkind,string,,,
Shawn Lee,string,,,
Simon Pawlak,string,,,
Soungmo Yoon,string,,,
Stephen Honegger,string,,,
Stephen Todd,string,,,
Tam Ly,string,,,
Tasha Valdez,string,,,
Timmy Sanchez,string,,,
Tom De La Garza,string,,,
Tom Van De Wijdeven,string,,,
Tristan Liu (刘天舒),string,,,
Tyler Brenot-Rahman,string,,,
Vaishak Muralidharan,string,,,
Viktor Mierkulov,string,,,
Vincent Chung,string,,,
Vincent Ying,string,,,
Wayne Dalton,string,,,
Wes Dockins,string,,,
Will Higgins,string,,,
William Harper,string,,,
Zachory Wilson,string,,,
CREDITS/DEPT_AUDIO,dept,,,
Andrew Giardino,string,,,
Cameron Britton,string,,,
Dennis Bestafka,string,,,
Don Veca,string,,,
Emilio Lopez-Centellas,string,,,
Eric Wedemeyer,string,,,
Fernando Labarthe,string,,,
Jeffrey Quinn,string,,,
Jomo Kangethe,string,,,
Kegan Chau,string,,,
Kyle Fraser,string,,,
Liam Underwood,string,,,
Matt Grimm,string,,,
Michael Tornabene,string,,,
Peter Wayne,string,,,
Robbie Elias,string,,,
Scott Cresswell,string,,,
Travis Didluck,string,,,
Tyler Cannan,string,,,
CREDITS/DEPT_CINEMATICS,dept,,,
Dan Kendall,string,,,
Victor Silvestri,string,,,
CREDITS/DEPT_DEI,dept,,,
Alayna Cole,string,,,
Amber Sullivan,string,,,
Isabelle Brown,string,,,
CREDITS/DEPT_DESIGN,dept,,,
Abdirizak Noor,string,,,
Akuila Iliesa,string,,,
Alison Gains,string,,,
Amelia Mcleavey,string,,,
