a0,b1,c2,d3,e4,g5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,q16
maxrank,54,,,,,,,,,,,,,,,
0,,0,3000,RANK/PVT,RANK/PVT_FULL,,3000,,,,,,1,1,ranked_up_1,RANK/PVT_FULL
1,,3000,3500,RANK/PVT,RANK/PVT_FULL2,,6500,,,,,,2,2,ranked_up_1,RANK/PVT_FULL_N
2,,6500,4000,RANK/PVT,RANK/PVT_FULL3,,10500,,,,,,3,3,ranked_up_1,RANK/PVT_FULL_N
3,,10500,4500,RANK/PVT,RANK/PVT_FULL4,,15000,,,,,,4,4,ranked_up_1,RANK/PVT_FULL_N
4,,15000,5000,RANK/PVT,RANK/PVT_FULL5,,20000,,,,,,5,5,ranked_up_1,RANK/PVT_FULL_N
5,,20000,5500,RANK/PFC,RANK/PFC_FULL,,25500,,,,,,6,6,ranked_up_2,RANK/PFC_FULL
6,,25500,6000,RANK/PFC,RANK/PFC_FULL2,,31500,,,,,,7,7,ranked_up_2,RANK/PFC_FULL_N
7,,31500,6500,RANK/PFC,RANK/PFC_FULL3,,38000,,,,,,8,8,ranked_up_2,RANK/PFC_FULL_N
8,,38000,7000,RANK/PFC,RANK/PFC_FULL4,,45000,,,,,,9,9,ranked_up_2,RANK/PFC_FULL_N
9,,45000,7500,RANK/PFC,RANK/PFC_FULL5,,52500,,,,,,10,10,ranked_up_2,RANK/PFC_FULL_N
10,,52500,8000,RANK/SPC,RANK/SPC_FULL,,60500,,,,,,11,11,ranked_up_3,RANK/SPC_FULL
11,,60500,8500,RANK/SPC,RANK/SPC_FULL2,,69000,,,,,,12,12,ranked_up_3,RANK/SPC_FULL_N
12,,69000,9000,RANK/SPC,RANK/SPC_FULL3,,78000,,,,,,13,13,ranked_up_3,RANK/SPC_FULL_N
13,,78000,9500,RANK/SPC,RANK/SPC_FULL4,,87500,,,,,,14,14,ranked_up_3,RANK/SPC_FULL_N
14,,87500,10000,RANK/SPC,RANK/SPC_FULL5,,97500,,,,,,15,15,ranked_up_3,RANK/SPC_FULL_N
15,,97500,10500,RANK/CPL,RANK/CPL_FULL,,108000,,,,,,16,16,ranked_up_4,RANK/CPL_FULL
16,,108000,11000,RANK/CPL,RANK/CPL_FULL2,,119000,,,,,,17,17,ranked_up_4,RANK/CPL_FULL_N
17,,119000,11500,RANK/CPL,RANK/CPL_FULL3,,130500,,,,,,18,18,ranked_up_4,RANK/CPL_FULL_N
18,,130500,12000,RANK/CPL,RANK/CPL_FULL4,,142500,,,,,,19,19,ranked_up_4,RANK/CPL_FULL_N
19,,142500,12500,RANK/CPL,RANK/CPL_FULL5,,155000,,,,,,20,20,ranked_up_4,RANK/CPL_FULL_N
20,,155000,13000,RANK/SGT,RANK/SGT_FULL,,168000,,,,,,21,21,ranked_up_5,RANK/SGT_FULL
21,,168000,13500,RANK/SGT,RANK/SGT_FULL2,,181500,,,,,,22,22,ranked_up_5,RANK/SGT_FULL_N
22,,181500,14000,RANK/SGT,RANK/SGT_FULL3,,195500,,,,,,23,23,ranked_up_5,RANK/SGT_FULL_N
23,,195500,14500,RANK/SGT,RANK/SGT_FULL4,,210000,,,,,,24,24,ranked_up_5,RANK/SGT_FULL_N
24,,210000,15000,RANK/SGT,RANK/SGT_FULL5,,225000,,,,,,25,25,ranked_up_5,RANK/SGT_FULL_N
25,,225000,15500,RANK/SSGT,RANK/SSGT_FULL,,240500,,,,,,26,26,ranked_up_6,RANK/SSGT_FULL
26,,240500,16000,RANK/SSGT,RANK/SSGT_FULL2,,256500,,,,,,27,27,ranked_up_6,RANK/SSGT_FULL_N
27,,256500,16500,RANK/SSGT,RANK/SSGT_FULL3,,273000,,,,,,28,28,ranked_up_6,RANK/SSGT_FULL_N
28,,273000,17000,RANK/SSGT,RANK/SSGT_FULL4,,290000,,,,,,29,29,ranked_up_6,RANK/SSGT_FULL_N
29,,290000,17500,RANK/SSGT,RANK/SSGT_FULL5,,307500,,,,,,30,30,ranked_up_6,RANK/SSGT_FULL_N
30,,307500,18100,RANK/GSGT,RANK/GSGT_FULL,,325600,,,,,,31,31,ranked_up_7,RANK/GSGT_FULL
31,,325600,18700,RANK/GSGT,RANK/GSGT_FULL2,,344300,,,,,,32,32,ranked_up_7,RANK/GSGT_FULL_N
32,,344300,19300,RANK/GSGT,RANK/GSGT_FULL3,,363600,,,,,,33,33,ranked_up_7,RANK/GSGT_FULL_N
33,,363600,19900,RANK/GSGT,RANK/GSGT_FULL4,,383500,,,,,,34,34,ranked_up_7,RANK/GSGT_FULL_N
34,,383500,20500,RANK/GSGT,RANK/GSGT_FULL5,,404000,,,,,,35,35,ranked_up_7,RANK/GSGT_FULL_N
