mp_firingrange,vision/underwater.vision
cp_jup_dam, vision/cp_jup_dam_underwater.vision
mp_saba,vision/mp_saba_underwater.vision
mp_saba_pm,vision/mp_saba_pm_underwater.vision
mp_saba2,vision/mp_saba_underwater.vision
mp_hydro,vision/mp_saba_underwater.vision
mp_hydro_dev,vision/mp_saba_underwater.vision
mp_hydro_gw,vision/mp_saba_underwater.vision
mp_fishtown_gw,vision/mp_saba_underwater.vision
mp_caves_gw,vision/mp_saba_underwater.vision
mp_exhume_gw,vision/mp_saba_underwater.vision
mp_forsaken_gw,vision/mp_saba_underwater.vision
mp_fort,vision/mp_saba_underwater.vision
mp_fort_gw,vision/mp_saba_underwater.vision
mp_regional_gw,vision/mp_saba_underwater.vision
mp_sira_gw,vision/mp_saba_underwater.vision
mp_sunken_gw,vision/mp_saba_underwater.vision
mp_wartorn_gw,vision/mp_saba_underwater.vision
backstabbed,vision/backstabbed_underwater.vision
cp_raid1,vision/cp_raid1_maze.vision
cp_raid1_maze_lighting,vision/cp_raid1_maze.vision
marina,vision/marina_water.vision
wounded,vision/wounded_underwater.vision
sp_jup_art_test_lake,vision/sp_jup_art_test_lake_dr.vision
sp_jup_vip,vision/sp_jup_vip_underwater.vision
mp_jup_subbase,vision/mp_jup_subbase_underwater.vision
mp_m_penthouse,vision/mp_m_penthouse_underwater.vision
mp_biobunker,vision/mp_biobunker_underwater.vision
mp_townhouses,vision/mp_townhouses_underwater.vision
mp_floatinghouses,vision/mp_floatinghouses_underwater.vision
mp_narcos,vision/mp_narcos_underwater.vision
mp_delta,vision/mp_delta_day_underwater.vision
cp_jup_resort,vision/cp_jup_resort_underwater.vision
mp_jup_escape5,vision/mp_jup_escape5_underwater.vision
