alias,min_drop_height,max_drop_height,min_arrival_yaw,max_arrival_yaw,__END__
jog_mantle_down_sm,0,63,-75,75,
jog_mantle_down_sm_90l,0,63,75,90,
jog_mantle_down_sm_90r,0,63,-90,-75,
jog_mantle_down_md,63,127,-75,75,
jog_mantle_down_md_90l,63,127,75,90,
jog_mantle_down_md_90r,63,127,-90,-75,
jog_mantle_down_lg,127,151,-75,75,
jog_mantle_down_lg_90l,127,151,75,90,
jog_mantle_down_lg_90r,127,151,-90,-75,
jog_mantle_down_xlg,151,250,-75,75,
jog_mantle_down_xlg_90l,151,250,75,90,
jog_mantle_down_xlg_90r,151,250,-90,-75,
default,,,,,
__END__,,,,,
