alias,min_height,max_height,min_arrival_yaw,max_arrival_yaw,__END__
jog_mantle_up_sm,0,63,-75,75,
jog_mantle_up_sm_90l,0,63,75,180,
jog_mantle_up_sm_90r,0,63,-180,-75,
jog_mantle_up_md,63,127,-75,75,
jog_mantle_up_md_90l,63,127,75,180,
jog_mantle_up_md_90r,63,127,-180,-75,
jog_mantle_up_lg,127,151,-75,75,
jog_mantle_up_lg_90l,127,151,75,180,
jog_mantle_up_lg_90r,127,151,-180,-75,
jog_mantle_up_xlg,151,250,-75,75,
jog_mantle_up_xlg_90l,151,250,75,180,
jog_mantle_up_xlg_90r,151,250,-180,-75,
default,,,,,
__END__,,,,,
