iw8_me_riotshield,sticker,0,loadout_showcase_preview_large,,,,,0
iw9_ar_golf3,receiver,0,,,-4,,1.5,0
iw9_ar_golf3,magazine,0,loadout_showcase_preview_magazine,,-1,,-2,0
iw9_ar_golf3,frontpiece,0,loadout_showcase_preview_barrel,,13.5,,-1.5,0
iw9_ar_golf3,extra,0,loadout_showcase_preview_laser,,,,,0
iw9_ar_golf3,optic,0,loadout_showcase_preview_optic,,1.5,,,0
iw9_ar_golf3,undermount,0,loadout_showcase_preview_underbarrel,,1.5,,0.5,0
iw9_ar_golf3,backpiece,0,loadout_showcase_preview_stock,,,,-0.5,0
iw9_ar_golf3,muzzle,0,loadout_showcase_preview_muzzle,,1,,,0
iw9_ar_golf3,reargrip,0,loadout_showcase_preview_reargrip,,1,,-3,0
iw9_ar_kilo53,reargrip,0,loadout_showcase_preview_reargrip,,1,,-3,0
iw9_ar_kilo53,receiver,0,,,-4.5,,1.5,0
iw9_ar_kilo53,magazine,0,loadout_showcase_preview_magazine,,-1.5,,-2,0
iw9_ar_kilo53,frontpiece,0,loadout_showcase_preview_barrel,,,,-1.5,0
iw9_ar_kilo53,extra,0,loadout_showcase_preview_laser,,2,,1.5,0
iw9_ar_kilo53,optic,0,loadout_showcase_preview_optic,,0.5,,,0
iw9_ar_kilo53,undermount,0,loadout_showcase_preview_underbarrel,,3,,,0
iw9_ar_kilo53,backpiece,0,loadout_showcase_preview_stock,,-2,,-0.5,0
iw9_ar_kilo53,muzzle,0,loadout_showcase_preview_muzzle,,1,,,0
iw9_sm_mpapa5,receiver,0,,,-4,,1,0
iw9_sm_mpapa5,magazine,0,loadout_showcase_preview_magazine,,,,-2,0
iw9_sm_mpapa5,frontpiece,0,loadout_showcase_preview_barrel,,1.5,,-1.5,0
iw9_sm_mpapa5,extra,0,loadout_showcase_preview_laser,,-1,,1,0
iw9_sm_mpapa5,optic,0,loadout_showcase_preview_optic,,0.5,,,0
iw9_sm_mpapa5,undermount,0,loadout_showcase_preview_underbarrel,,2.5,,,0
iw9_sm_mpapa5,backpiece,0,loadout_showcase_preview_stock,,0.8,,,0
iw9_sm_mpapa5,muzzle,0,loadout_showcase_preview_muzzle,,0.5,,,0
iw9_sm_mpapa5,reargrip,0,loadout_showcase_preview_reargrip,,1,,-3,0
iw9_lm_kilo21,receiver,0,,,2,,,0
iw9_lm_kilo21,magazine,0,loadout_showcase_preview_magazine,,,,-2,0
iw9_lm_kilo21,frontpiece,0,loadout_showcase_preview_barrel,,6,,-1.5,0
iw9_lm_kilo21,extra,0,loadout_showcase_preview_laser,,,,,0
iw9_lm_kilo21,optic,0,loadout_showcase_preview_optic,,0.5,,0.5,0
iw9_lm_kilo21,undermount,0,loadout_showcase_preview_underbarrel,,2.5,,,0
iw9_lm_kilo21,backpiece,0,loadout_showcase_preview_stock,,,,,0
iw9_lm_kilo21,muzzle,0,loadout_showcase_preview_muzzle,,1,,,0
iw9_lm_kilo21,reargrip,0,loadout_showcase_preview_reargrip,,1,,-3,0
iw9_dm_pgolf1,receiver,0,,,-1,,1.5,0
iw9_dm_pgolf1,magazine,0,loadout_showcase_preview_magazine,,-1,,,0
iw9_dm_pgolf1,frontpiece,0,loadout_showcase_preview_barrel,,5,,-1.5,0
iw9_dm_pgolf1,extra,0,loadout_showcase_preview_laser,,4,,1,0
iw9_dm_pgolf1,optic,0,loadout_showcase_preview_optic,,1.5,,0.75,0
iw9_dm_pgolf1,undermount,0,loadout_showcase_preview_underbarrel,,6.5,,0.2,0
iw9_dm_pgolf1,backpiece,0,loadout_showcase_preview_stock,,,,,0
iw9_dm_pgolf1,muzzle,0,loadout_showcase_preview_muzzle,,1,,,0
iw9_dm_pgolf1,reargrip,0,loadout_showcase_preview_reargrip,,1,,-3,0
iw9_lm_slima,receiver,0,,,2,,,0
iw9_lm_slima,magazine,0,loadout_showcase_preview_magazine,,,,-1,0
iw9_lm_slima,frontpiece,0,loadout_showcase_preview_barrel,,10,,,0
iw9_lm_slima,extra,0,loadout_showcase_preview_laser,,,,,0
iw9_lm_slima,optic,0,loadout_showcase_preview_optic,,1,,,0
iw9_lm_slima,undermount,0,loadout_showcase_preview_underbarrel,,1,,,0
iw9_lm_slima,backpiece,0,loadout_showcase_preview_stock,,-1,,,0
iw9_lm_slima,muzzle,0,loadout_showcase_preview_muzzle,,1,,,0
iw9_lm_slima,reargrip,0,loadout_showcase_preview_reargrip,,,,,0
iw9_dm_mike14,receiver,0,,,-1,,0.8,0
iw9_dm_mike14,magazine,0,,,-2,,-1.5,0
iw9_dm_mike14,frontpiece,0,,,3.5,,-1,0
iw9_dm_mike14,extra,0,,,-0.5,,,0
iw9_dm_mike14,optic,0,,,1,,-0.3,0
iw9_dm_mike14,undermount,0,,,4,,,0
iw9_dm_mike14,backpiece,0,,,1,,,0
iw9_dm_mike14,muzzle,0,,,2,,0.2,0
iw9_dm_mike14,reargrip,0,,,-0.5,,-0.5,0
iw9_dm_mike14,comb,0,,,-6,,0.5,0
iw9_pi_golf17,receiver,0,,,-7,,2,0
iw9_pi_golf17,magazine,0,,,,,2.5,0
iw9_pi_golf17,frontpiece,0,,,6,,0.5,0
iw9_pi_golf17,extra,0,,,3,,-2,0
iw9_pi_golf17,optic,0,,,1.5,,0.5,0
iw9_pi_golf17,undermount,0,,,-8,,-2,0
iw9_pi_golf17,backpiece,0,,,1,,4.2,0
iw9_pi_golf17,muzzle,0,,,,,,0
iw9_pi_golf17,reargrip,0,,,,,,0
iw9_pi_golf17,trigger,0,,,1,,-1,0
iw9_pi_golf18,receiver,0,,,-7,,2.1,0
iw9_pi_golf18,magazine,0,,,0,,2.5,0
iw9_pi_golf18,frontpiece,0,,,6,,,0
iw9_pi_golf18,extra,0,,,,,,0
iw9_pi_golf18,optic,0,,,1.5,,0.5,0
iw9_pi_golf18,undermount,0,,,3,,-0.5,0
iw9_pi_golf18,backpiece,0,,,1,,4.2,0
iw9_pi_golf18,muzzle,0,,,,,,0
iw9_pi_golf18,reargrip,0,,,,,,0
iw9_pi_golf18,trigger,0,,,1,,-1,0
iw9_pi_decho,receiver,0,,,,,,0
iw9_pi_decho,magazine,0,,,-1,,2.5,0
iw9_pi_decho,frontpiece,0,,,3,,,0
iw9_pi_decho,extra,0,,,,,,0
iw9_pi_decho,optic,0,,,0.5,,0.5,0
iw9_pi_decho,undermount,0,,,,,,0
iw9_pi_decho,backpiece,0,,,,,,0
iw9_pi_decho,muzzle,0,,,,,,0
iw9_pi_decho,reargrip,0,,,,,,0
iw9_pi_decho,trigger,0,,,1,,-1,0
iw9_pi_papa220,receiver,0,,,-7,,2,0
iw9_pi_papa220,magazine,0,,,-1,,1.5,0
iw9_pi_papa220,frontpiece,0,,,,,,0
iw9_pi_papa220,extra,0,,,,,,0
iw9_pi_papa220,optic,0,,,1.5,,0.5,0
iw9_pi_papa220,undermount,0,,,,,,0
iw9_pi_papa220,backpiece,0,,,,,,0
iw9_pi_papa220,muzzle,0,,,,,,0
iw9_pi_papa220,reargrip,0,,,,,,0
iw9_sm_mpapax,receiver,0,,,-6,,,0
iw9_sm_mpapax,magazine,0,,,,,-2,0
iw9_sm_mpapax,frontpiece,0,,,1,,,0
iw9_sm_mpapax,extra,0,,,0.5,,,0
iw9_sm_mpapax,optic,0,,,1,,,0
iw9_sm_mpapax,undermount,0,,,,,0.5,0
iw9_sm_mpapax,backpiece,0,,,,,,0
iw9_sm_mpapax,muzzle,0,,,1,,,0
iw9_sm_mpapax,reargrip,0,,,-1,,-1,0
iw9_sm_apapa,receiver,0,,,-0.5,,0.5,0
iw9_sm_apapa,magazine,0,,,-1.5,,-1,0
iw9_sm_apapa,frontpiece,0,,,,,,0
iw9_sm_apapa,extra,0,,,,,,0
iw9_sm_apapa,optic,0,,,,,,0
iw9_sm_apapa,undermount,0,,,,,,0
iw9_sm_apapa,backpiece,0,,,5,,1.5,0
iw9_sm_apapa,muzzle,0,,,0.5,,,0
iw9_sm_apapa,reargrip,0,,,-1,,-0.5,0
iw9_sm_aviktor,receiver,0,,,-4,,0.5,0
iw9_sm_aviktor,magazine,0,,,-0.5,,-3,0
iw9_sm_aviktor,frontpiece,0,,,,,-1,0
iw9_sm_aviktor,extra,0,,,,,-1.5,0
iw9_sm_aviktor,optic,0,,,1,,0.5,0
iw9_sm_aviktor,undermount,0,,,,,,0
iw9_sm_aviktor,backpiece,0,,,-0.5,,,0
iw9_sm_aviktor,muzzle,0,,,1.25,,0.25,0
iw9_sm_aviktor,reargrip,0,,,-1.5,,-2,0
iw9_sm_alpha57,receiver,0,,,-6.5,,,0
iw9_sm_alpha57,magazine,0,,,,,,0
iw9_sm_alpha57,frontpiece,0,,,7.5,,0.5,0
iw9_sm_alpha57,extra,0,,,-1,,-1,0
iw9_sm_alpha57,optic,0,,,1,,0.5,0
iw9_sm_alpha57,undermount,0,,,2,,,0
iw9_sm_alpha57,backpiece,0,,,-1,,,0
iw9_sm_alpha57,muzzle,0,,,1,,,0
iw9_sm_alpha57,reargrip,0,,,-1.5,,-2,0
iw9_sm_beta,receiver,0,,,-7.5,,1,0
iw9_sm_beta,magazine,0,,,3,,-1,0
iw9_sm_beta,frontpiece,0,,,4,,-1,0
iw9_sm_beta,extra,0,,,1.5,,-3,0
iw9_sm_beta,optic,0,,,1.5,,,0
iw9_sm_beta,undermount,0,,,4,,-1.5,0
iw9_sm_beta,backpiece,0,,,,,,0
iw9_sm_beta,muzzle,0,,,0.5,,,0
iw9_sm_beta,reargrip,0,,,-1.75,,-2,0
iw9_sm_papa90,receiver,0,,,-6,,2,0
iw9_sm_papa90,magazine,0,,,,,,0
iw9_sm_papa90,frontpiece,0,,,,,,0
iw9_sm_papa90,extra,0,,,,,,0
iw9_sm_papa90,optic,0,,,1,,0.5,0
iw9_sm_papa90,undermount,0,,,2.5,,,0
iw9_sm_papa90,backpiece,0,,,-15.5,,0.5,0
iw9_sm_papa90,muzzle,0,,,0.2,,,0
iw9_sm_papa90,reargrip,0,,,-0.5,,-0.5,0
iw9_sm_papa90,comb,0,,,-15,,1,0
iw9_sm_mpapa7,receiver,0,,,-3,,1.5,0
iw9_sm_mpapa7,magazine,0,,,-0.5,,-0.5,0
iw9_sm_mpapa7,frontpiece,0,,,6.5,,0.1,0
iw9_sm_mpapa7,extra,0,,,,,,0
iw9_sm_mpapa7,optic,0,,,1,,0.5,0
iw9_sm_mpapa7,undermount,0,,,2,,,0
iw9_sm_mpapa7,backpiece,0,,,,,,0
iw9_sm_mpapa7,muzzle,0,,,0.2,,,0
iw9_sm_mpapa7,reargrip,0,,,,,,0
iw9_sm_victor,receiver,0,,,,,1,0
iw9_sm_victor,magazine,0,,,-0.8,,,0
iw9_sm_victor,frontpiece,0,,,3,,0.5,0
iw9_sm_victor,extra,0,,,2.5,,0.75,0
iw9_sm_victor,optic,0,,,1,,0.5,0
iw9_sm_victor,undermount,0,,,1.5,,,0
iw9_sm_victor,backpiece,0,,,,,,0
iw9_sm_victor,muzzle,0,,,,,,0
iw9_sm_victor,reargrip,0,,,,,,0
iw9_me_knife,receiver,0,,,,,,0
iw9_me_knife,magazine,0,,,,,,0
iw9_me_knife,frontpiece,0,,,,,,0
iw9_me_knife,extra,0,,,,,,0
iw9_me_knife,optic,0,,,,,,0
iw9_me_knife,undermount,0,,,,,,0
iw9_me_knife,backpiece,0,,,,,,0
iw9_me_knife,muzzle,0,,,,,,0
iw9_me_knife,reargrip,0,,,,,,0
iw9_ar_schotel,receiver,0,,,-4.5,,,0
iw9_ar_schotel,magazine,0,,,-1.5,,-1,0
iw9_ar_schotel,frontpiece,0,,,3,,,0
iw9_ar_schotel,extra,0,,,,,,0
iw9_ar_schotel,optic,0,,,3,,0.5,0
iw9_ar_schotel,undermount,0,,,3,,,0
iw9_ar_schotel,backpiece,0,,,-12,,,0
iw9_ar_schotel,muzzle,0,,,1,,,0
iw9_ar_schotel,reargrip,0,,,-1,,-1,0
iw9_ar_mcbravo,receiver,0,,,-6.5,,0.5,0
iw9_ar_mcbravo,magazine,0,,,-0.5,,-2,0
iw9_ar_mcbravo,frontpiece,0,,,1,,,0
iw9_ar_mcbravo,extra,0,,,,,,0
iw9_ar_mcbravo,optic,0,,,1,,,0
iw9_ar_mcbravo,undermount,0,,,2.5,,,0
iw9_ar_mcbravo,backpiece,0,,,,,,0
iw9_ar_mcbravo,muzzle,0,,,9,,0.75,0
iw9_ar_mcbravo,reargrip,0,,,-1.5,,-2,0
iw9_ar_augolf,receiver,0,,,,,0.5,0
iw9_ar_augolf,magazine,0,,,-1.5,,-1.5,0
iw9_ar_augolf,frontpiece,0,,,4,,,0
iw9_ar_augolf,extra,0,,,,,,0
iw9_ar_augolf,optic,0,,,,,0.5,0
iw9_ar_augolf,undermount,0,,,2,,,0
iw9_ar_augolf,backpiece,0,,,1.5,,,0
iw9_ar_augolf,muzzle,0,,,0.5,,,0
iw9_ar_augolf,reargrip,0,,,-0.5,,,0
iw9_br_soscar14,receiver,0,,,,,,0
iw9_br_soscar14,magazine,0,,,-1.5,,-2,0
iw9_br_soscar14,frontpiece,0,,,,,-1,0
iw9_br_soscar14,extra,0,,,,,,0
iw9_br_soscar14,optic,0,,,1,,,0
iw9_br_soscar14,undermount,0,,,3,,,0
iw9_br_soscar14,backpiece,0,,,,,,0
iw9_br_soscar14,muzzle,0,,,1.5,,,0
iw9_br_soscar14,reargrip,0,,,-1,,-1,0
iw9_br_soscar14,comb,0,,,-6,,-0.5,0
iw9_ar_mike4,receiver,0,,,-6.5,,,0
iw9_ar_mike4,magazine,0,,,-1,,-3,0
iw9_ar_mike4,frontpiece,0,,,5,,-1.5,0
iw9_ar_mike4,extra,0,,,1.5,,,0
iw9_ar_mike4,optic,0,,,1.5,,0.5,0
iw9_ar_mike4,undermount,0,,,2,,,0
iw9_ar_mike4,backpiece,0,,,-2,,,0
iw9_ar_mike4,muzzle,0,,,1,,,0
iw9_ar_mike4,reargrip,0,,,-1.5,,-2,0
iw9_ar_mike16,receiver,0,,,-6.5,,,0
iw9_ar_mike16,magazine,0,,,-1,,-2,0
iw9_ar_mike16,frontpiece,0,,,8,,-1,0
iw9_ar_mike16,extra,0,,,2,,,0
iw9_ar_mike16,optic,0,,,1.5,,0.5,0
iw9_ar_mike16,undermount,0,,,4,,,0
iw9_ar_mike16,backpiece,0,,,-2.5,,-0.5,0
iw9_ar_mike16,muzzle,0,,,1,,,0
iw9_ar_mike16,reargrip,0,,,-1.5,,-2,0
iw9_br_msecho,receiver,0,,,-6,,,0
iw9_br_msecho,magazine,0,,,-1,,-2,0
iw9_br_msecho,frontpiece,0,,,5.5,,-1,0
iw9_br_msecho,extra,0,,,,,,0
iw9_br_msecho,optic,0,,,1,,0.5,0
iw9_br_msecho,undermount,0,,,2,,,0
iw9_br_msecho,backpiece,0,,,-1,,-0.5,0
iw9_br_msecho,muzzle,0,,,1,,,0
iw9_br_msecho,reargrip,0,,,-1,,-1,0
iw9_ar_akilo,receiver,0,,,-1,,-1,0
