a0,b1,c2,d3,e4,g5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,q16
maxrank,54,,,,,,,,,,,,,,,
0,,0,200,,,,0,,,,,,1,1,,
1,,200,300,,,,200,,,,,,2,2,,
2,,500,400,,,,500,,,,,,3,3,,
3,,900,400,,,,900,,,,,,4,4,,
4,,1300,400,,,,1300,,,,,,5,5,,
5,,1700,400,,,,1700,,,,,,6,6,,
6,,2100,500,,,,2100,,,,,,7,7,,
7,,2600,500,,,,2600,,,,,,8,8,,
8,,3100,500,,,,3100,,,,,,9,9,,
9,,3600,600,,,,3600,,,,,,10,10,,
10,,4200,600,,,,4200,,,,,,11,11,,
11,,4800,800,,,,4800,,,,,,12,12,,
12,,5600,800,,,,5600,,,,,,13,13,,
13,,6400,800,,,,6400,,,,,,14,14,,
14,,7200,800,,,,7200,,,,,,15,15,,
15,,8000,800,,,,8000,,,,,,16,16,,
16,,8800,1000,,,,8800,,,,,,17,17,,
17,,9800,1000,,,,9800,,,,,,18,18,,
18,,10800,1000,,,,10800,,,,,,19,19,,
19,,11800,1200,,,,11800,,,,,,20,20,,
20,,13000,1200,,,,13000,,,,,,21,21,,
21,,14200,1200,,,,14200,,,,,,22,22,,
22,,15400,1200,,,,15400,,,,,,23,23,,
23,,16600,1400,,,,16600,,,,,,24,24,,
24,,18000,1400,,,,18000,,,,,,25,25,,
25,,19400,1400,,,,19400,,,,,,26,26,,
26,,20800,1400,,,,20800,,,,,,27,27,,
27,,22200,2000,,,,22200,,,,,,28,28,,
28,,24200,2000,,,,24200,,,,,,29,29,,
29,,26200,,,,,26200,,,,,,30,30,,
