inherit,mp/loot/br/dmz/lootset_bar_cabinet.csv,
tagReject,biolab,
tagReject,saba,
tagReject,sabacrashsite,
tagReject,delta,
tagReject,biobunker,
tagBoost,brloot_valuable_liquor,-10
tagBoost,brloot_valuable_comicbook,-10
tagBoost,brloot_valuable_comicbook_firsted,-10
item,brloot_valuable_sealion_liquor,100
item,brloot_valuable_sealion_cigarbox,30
item,brloot_valuable_sealion_3mmfilm,20
item,brloot_valuable_sealion_dogbank,20
item,brloot_valuable_sealion_luckycat,20
item,brloot_valuable_sealion_vase_1,5
item,brloot_valuable_sealion_vase_2,5
item,brloot_valuable_sealion_vase_3,5
item,brloot_valuable_sealion_mask_1,20
item,brloot_valuable_sealion_mask_2,20
item,brloot_valuable_sealion_mask_3,20
