New York (MP),mp-new-york
Atlanta (GS),gs-atlanta
Chicago (GS),gs-chicago
Chicago (MP),mp-chicago
Dallas (MP),mp-dallas
Denver (FX),flexential-denver
Iowa (GCP),gcp-us-central1
Ohio (AWS),aws-us-east-2
Los Angeles (GCP),gcp-us-west2
Saint Louis (GS),gs-st-louis
Salt Lake City (MP),mp-salt-lake-city
Virginia (AWS),aws-us-east-1
South Carolina (GCP),gcp-us-east1
Competition Stage 1,cdl-stage-01
Competition Stage 2,cdl-stage-02
Player Practice Area 1,cdl-ppa-01
Player Practice Area 2,cdl-ppa-02
Player Practice Area 3,cdl-ppa-03
