allowGrenades,1,1,1,1
adsAllowed,1,1,1,1
adsDelayFireIn,1,1,1,1
adsDelayFireOut,1,1,0,0
adsDelayFireFullAuto,1,1,1,0
advancedPersonality,0,1,1,1
quickPistolSwitch,1,1,1,1
meleeReactAllowed,0,1,1,1
minInaccuracy,3,2.75,2.5,1.5
maxInaccuracy,4,3.5,3.25,2.75
sniperInaccuracyScale,1,1.1,1.1,1.1
hitInaccuracyScale,1.18,1.12,1.06,1.02
hitInaccuracyChance,1,1,0.75,0.5
minAimResponse,100,100,100,50
maxAimResponse,200,190,200,150
minNonAutoFireDelay,550,400,250,150
maxNonAutoFireDelay,750,600,450,350
adsDelayFireTime,500,350,200,50
adsDelayFireTimeScoped,750,575,400,300
minBurstFireTime,550,450,400,450
maxBurstFireTime,1000,900,750,600
minTimeBetweenBursts,500,700,600,600
maxTimeBetweenBursts,900,800,700,700
burstFireType,all,high_recoil,high_recoil,high_recoil
fireAtDeadTime,850,700,500,300
lookAtDeadTime,1350,1200,900,500
averageEnemySightTime,510,325,250,200
sightTurnAroundPenalty,2,1.5,1,0.5
reactionTime,660,425,200,100
meleeReactionTime,1300,700,400,300
strafeChance,0.5,0.75,0.85,1
strafeWeaponMaxRangeMultiplier,1.5,1.9,2.1,2.1
strafeWeaponMinRangeMultiplier,1.8,2,2.4,2.4
strafeEnemyWeaponMaxRangeMultiplier,1.5,1.9,2.1,2.1
diveChance,0.15,0.25,0.5,0.75
diveDelay,1000,1000,500,300
slideChance,0.75,1,1,1
cornerFireChance,0.25,0.5,0.75,1
cornerJumpChance,0.25,0.5,0.75,1
throwKnifeChance,0,0.05,0.25,1
meleeDist,40,60,100,128
meleeChargeDist,0,80,130,160
fireFromHipDist,80,300,300,300
yawSpeed,3,3.5,5,6
yawSpeedAds,2,2.5,4.5,5
pitchSpeed,2.5,3,5,5.5
pitchSpeedAds,2,2.5,4.5,5
grenadeCookPrecision,-1,-1,500,100
breakMelee,0,0,0.5,1
hearingDeaf,0.15,0.165,0.18,0.2
visionBlinded,0.05,0.2,0.28,0.35
blindDiveChance,0.2,0.2,0.25,0.5
awareViewAngle,35,35,30,25
strategyLevel,0,1,2,3
intelligentSprintLevel,2,2,2,2
seeHardwareChance,0.2,0.4,0.6,0.8
targetHardwareChance,0.1,0.2,0.3,0.4
targetVehicleChance,0.1,0.2,0.3,0.4
holdBreathChance,0.25,0.25,0.5,1
launcherRespawnChance,0,0.3,0.4,0.5
intelligentReload,0.25,0.5,0.75,1
avoidSkyPercent,0,0.33,0.66,1
launcherCombatChance,0,0.2,0.3,0.4
grenadeThrowbackChance,0.1,0.1,0.1,0.2
chanceToSeekOutKiller,0.4,0.6,0.75,0.9
minSwitchToCrouchCheckDelay,1500,1500,1500,1500
maxSwitchToCrouchCheckDelay,3000,3000,3000,3000
absoluteMaxWeapRangeScale_Sniper,1.1,1.1,1.3,1.5
absoluteMaxWeapRangeScale_Rifle,1.3,1.3,1.5,1.7
absoluteMaxWeapRangeScale_Rocket,1.5,1.5,1.5,1.5
absoluteMaxWeapRangeScale_Pistol,1.2,1.2,1.3,1.5
absoluteMaxWeapRangeScale_SMG,1.1,1.1,1.2,1.4
absoluteMaxWeapRangeScale_MG,1.3,1.3,1.5,1.7
absoluteMaxWeapRangeScale_Turret,1.5,1.5,1.5,1.5
absoluteMaxWeapRangeScale_Spread,1.2,1.2,1.3,1.5
