inherit,mp/loot/br/dmz/lootset_dresser.csv,
tagReject,biolab,
tagReject,saba,
tagReject,sabacrashsite,
tagReject,delta,
tagReject,biobunker,
tagBoost,brloot_valuable_comicbook,-100
tagBoost,brloot_valuable_comicbook_firsted,-100
item,brloot_valuable_sealion_liquor,2
item,brloot_valuable_sealion_cigarbox,3
item,brloot_valuable_sealion_3mmfilm,2
item,brloot_valuable_sealion_dogbank,2
item,brloot_valuable_sealion_luckycat,2
item,brloot_valuable_sealion_vase_1,1
item,brloot_valuable_sealion_vase_2,1
item,brloot_valuable_sealion_vase_3,1
item,brloot_valuable_sealion_mask_1,1
item,brloot_valuable_sealion_mask_2,1
item,brloot_valuable_sealion_mask_3,1
