alias,min_height,max_height,min_arrival_yaw,max_arrival_yaw,min_drop_height,max_drop_height,__END__
jog_vault_over_sm,0,47,-75,75,0,47,
jog_vault_over_sm_90l,0,47,75,180,0,47,
jog_vault_over_sm_90r,0,47,-180,-75,0,47,
jog_vault_over_md,47,63,-75,75,47,63,
jog_vault_over_md_90l,47,63,75,180,47,63,
jog_vault_over_md_90r,47,63,-180,-75,47,63,
jog_vault_over_lg,63,99,-75,75,63,99,
jog_vault_over_lg_90l,63,99,75,180,63,99,
jog_vault_over_lg_90r,63,99,-180,-75,63,99,
jog_vault_over_xlg,99,150,-75,75,99,150,
jog_vault_over_xlg_90l,99,150,75,180,99,150,
jog_vault_over_xlg_90r,99,150,-180,-75,99,150,
default,,,,,,,
__END__,,,,,,,
s,,,,,,,
