inherit,mp/loot/br/dmz/lootset_root.csv,,,
tagReject,nodrop,100,,
rollChance,plunder,7,,
rollChance,valuable,6,,
rollChance,killstreak,3,,
rollChance,key,1,,
rollChance,weapon,4,,
item,brloot_plate_carrier_2,5,,
item,brloot_plate_carrier_3,20,,
item,brloot_self_revive,100,,
item,brloot_health_adrenaline,100,,
item,brloot_plunder_cash_rare_2,3,,
item,brloot_plunder_cash_epic_1,2,,
item,brloot_plunder_cash_epic_2,2,,
item,brloot_plunder_cash_legendary_1,1,,
tagChance,key&pristine,1,,
tagChance,keyhero,5,,
item,brloot_valuable_goldbar,5,,
tagChance,weapon&2&(small|medium),4,,
tagChance,weapon&3&(small|medium),1,,
item,brloot_killstreak_clusterstrike,3,,
item,brloot_killstreak_precision_airstrike,3,,
item,brloot_killstreak_uav,4,,
item,brloot_valuable_folder_classified,10,,
item,brloot_valuable_thumb_drive,20,,
item,brloot_valuable_folder_sensitive,20,,
item,brloot_valuable_gold_skull,3,,
reqAdd,,1,0,100
reqAdd,plunder,2,0,100
reqAdd,plunder|valuable,1,0,100
reqAdd,weapon|killstreak,1,0,100
reqAdd,brloot_weaponcase,1,0,100
