1,Airport,30040.1,-32194,359.72
2,Caves,-27197.6,-818.604,1775.95
3,Cemetery,34358.4,-16890,608
4,Coastal City,-37169.1,-21980.8,268.5
5,Fishtown,-318.65,-40947.8,202.55
6,Hydro,-8328,8624,0
7,Lighthouse,-168.492,-49550,264
8,Marshlands,16749.5,448.66,224.359
9,Modern City,7364,22179.3,584
10,Observatory,-2082.18,-14436.6,4791.53
11,Oil,-23623.3,24418.2,-286.557
12,Old Fort,18291.6,-42183.5,620.82
13,Old Town,10651,-25849.4,1110
14,Prison,-18164.2,-36589.9,536.001
15,Quarry,-48452.9,10422.3,581.565
16,Sunkentown,-28653.8,-47584.6,37
17,War Torn,-8225.1,43037,318.8
