choose,5,,,,,
zone,oldtwn_hotzone_01,fortress,mp/loot/br/plunder/lootset_stronghold_black.csv,mp/loot/br/plunder/lootset_cache_spawns_blacksite.csv,,#Zone, blacksite
zone,me_controltower_01,fortress,mp/loot/br/plunder/lootset_stronghold_black.csv,mp/loot/br/plunder/lootset_cache_spawns_blacksite.csv,,#Zone, blacksite
zone,fishtwn_hotzone_05,fortress,mp/loot/br/plunder/lootset_stronghold_black.csv,mp/loot/br/plunder/lootset_cache_spawns_blacksite.csv,,#Zone, blacksite
zone,me_mc_postoffice_01,fortress,mp/loot/br/plunder/lootset_stronghold_black.csv,mp/loot/br/plunder/lootset_cache_spawns_blacksite.csv,,#Zone, blacksite
zone,me_mc_police_academy_01,fortress,mp/loot/br/plunder/lootset_stronghold_black.csv,mp/loot/br/plunder/lootset_cache_spawns_blacksite.csv,,#Zone, blacksite
choose,1,,,,,
zone,oilfield_hotzone_01,fortress,mp/loot/br/plunder/lootset_stronghold_high.csv,mp/loot/br/plunder/lootset_cache_spawns_stronghold.csv,,#Zone
zone,oilfield_hotzone_02,fortress,mp/loot/br/plunder/lootset_stronghold_high.csv,mp/loot/br/plunder/lootset_cache_spawns_stronghold.csv,,#Zone
zone,oilfield_hotzone_03,fortress,mp/loot/br/plunder/lootset_stronghold_high.csv,mp/loot/br/plunder/lootset_cache_spawns_stronghold.csv,,#Zone
zone,oilfield_hotzone_04,fortress,mp/loot/br/plunder/lootset_stronghold_high.csv,mp/loot/br/plunder/lootset_cache_spawns_stronghold.csv,,#Zone
choose,1,,,,,
zone,wartorn_hotzone_01,fortress,mp/loot/br/plunder/lootset_stronghold_high.csv,mp/loot/br/plunder/lootset_cache_spawns_stronghold.csv,,#Zone
zone,wartorn_hotzone_02,fortress,mp/loot/br/plunder/lootset_stronghold_high.csv,mp/loot/br/plunder/lootset_cache_spawns_stronghold.csv,,#Zone
choose,1,,,,,
zone,airport_hotzone_01,fortress,mp/loot/br/plunder/lootset_stronghold_high.csv,mp/loot/br/plunder/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,airport_hotzone_02,fortress,mp/loot/br/plunder/lootset_stronghold_high.csv,mp/loot/br/plunder/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
choose,1,,,,,
zone,lone_hotzone_01,fortress,mp/loot/br/plunder/lootset_stronghold_high.csv,mp/loot/br/plunder/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,lone_hotzone_02,fortress,mp/loot/br/plunder/lootset_stronghold_high.csv,mp/loot/br/plunder/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
choose,1,,,,,
zone,oldtwn_hotzone_02,fortress,mp/loot/br/plunder/lootset_stronghold_high.csv,mp/loot/br/plunder/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,oldtwn_hotzone_03,fortress,mp/loot/br/plunder/lootset_stronghold_high.csv,mp/loot/br/plunder/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
