42585 40429 989,0 191.86 0,5,0
42556 40838 979,0 191.86 0,5,1
-29603 45648 1780.66,0 271 0,0,2
42563 40697 992,0 191.86 0,5,3
42565 40566 993,0 191.86 0,5,4
1222 40391 1478.09,0 270 0,6,5
981 40351 1488,0 270 0,6,6
1337 40340 1465.25,0 270 0,6,7
1112 40389 1481.21,0 270 0,6,8
-35104 -18240 960,0 360 0,15,9
-35232 -18048 960,0 360 0,15,10
-35104 -18112 960,0 360 0,15,11
-35232 -18304 960,0 360 0,15,12
24124 36652 987.6,0 289 0,10,13
24260 36696 990.193,0 289 0,10,14
24000 36564 996.211,0 289 0,10,15
24416 36720 994.992,0 289 0,10,16
9696 35168 1216,0 270 0,16,17
9824 35168 1216,0 270 0,16,18
10080 35168 1216,0 270 0,16,19
9952 35168 1216,0 270 0,16,20
45056 34644 2684,0 248.239 0,3,21
44934 34626 2684,0 248.239 0,3,22
44838 34660 2684,0 248.239 0,3,23
44776 34750 2682,0 248.239 0,3,24
33024 43510 945,0 239 0,19,25
33090 43334 945,0 239 0,19,26
33012 43376 944,0 239 0,19,27
33202 43405 944,0 239 0,19,28
35870 15630 3548.43,0 288.999 0,14,29
35771 15595 3533.04,0 288.999 0,14,30
35973 15653 3552.92,0 288.999 0,14,31
35672 15570 3519.57,0 288.999 0,14,32
28590 -43282 3438.98,0 90 0,20,33
29070 -43282 3387.9,0 90 0,20,34
28910 -43282 3404.82,0 90 0,20,35
28750 -43282 3423.6,0 90 0,20,36
-34232 21517 928,0 38 0,17,37
-34331 21643 928,0 38 0,17,38
-34134 21391 928,0 38 0,17,39
-34035 21265 928,0 38 0,17,40
-40085 42279 1653,0 350.54 0,8,41
-37982 -31882 1945,0 15.7787 0,21,42
-38023 -31620 1936,0 14.7787 0,21,43
-38018 -31756 1939,0 20.7787 0,21,44
-20661 42625 2106,0 251.75 0,12,45
-20769 42644 2101,0 253.75 0,12,46
-37926 -32000 1925,0 20.7787 0,21,47
2147 -44857 2959,0 94.9997 0,22,48
43137 4099 3182.95,0 218.5 0,4,49
43199 4015 3179.7,0 218.5 0,4,50
43074 4169 3183.86,0 218.5 0,4,51
42975 4257 3173.76,0 218.5 0,4,52
45418 -9990 2924.17,0 155.859 0,9,53
45356 -10120 2904.55,0 155.859 0,9,54
45483 -9875 2946.32,0 153.859 0,9,55
45549 -9750 2971.94,0 153.859 0,9,56
46423 14361 3591,0 192 0,18,57
46544 14256 3597,0 192 0,18,58
46390 14518 3587,0 192 0,18,59
46457 14663 3585,0 192 0,18,60
-33859 -24274 1019.92,0 354.579 0,2,61
-33845 -24148 1032.33,0 354.579 0,2,62
-33870 -24418 1013.38,0 354.579 0,2,63
-33886 -24548 1012.47,0 354.579 0,2,64
-11975 -39242 2308.97,0 75 0,11,65
-12088 -39231 2308.97,0 75 0,11,66
-11851 -39253 2308.97,0 75 0,11,67
-11732 -39276 2308.97,0 75 0,11,68
12539 -39141 2999,0 94.9997 0,7,69
12400 -39124 2999,0 94.9997 0,7,70
12664 -39140 2999,0 94.9997 0,7,71
12783 -39148 2998,0 94.9997 0,7,72
23648 -36476 3397.63,0 4.99965 0,13,73
23639 -36375 3398.12,0 4.99965 0,13,74
23658 -36576 3397.8,0 4.99965 0,13,75
23670 -36694 3397.43,0 4.99965 0,13,76
41828 -18203 3151.55,0 144.79 0,24,77
41764 -18294 3146.78,0 144.79 0,24,78
41885 -18120 3153.66,0 144.79 0,24,79
41952 -18022 3155.94,0 144.79 0,24,80
-29487 45650 1784.46,0 271 0,0,81
-29732 45646 1775.68,0 271 0,0,82
-29847 45644 1770.09,0 271 0,0,83
2011 -44876 2950,0 94.9997 0,22,84
-40148 41900 1619,0 350.54 0,8,85
-40127 42026 1630,0 350.54 0,8,86
-40106 42152 1642,0 350.54 0,8,87
-20584 42603 2110,0 251.75 0,12,88
2272 -44856 2946,0 94.9997 0,22,89
-20476 42552 2114,0 242.75 0,12,90
2389 -44836 2935,0 94.9997 0,22,91
45482 -29367 3139.89,0 143 0,23,92
45416 -29456 3139.89,0 143 0,23,93
45542 -29285 3139.89,0 143 0,23,94
45612 -29190 3139.89,0 143 0,23,95
40803 25361 2522,0 94.8988 0,25,96
40699 25355 2517,0 94.8988 0,25,97
40896 25374 2516,0 94.8988 0,25,98
40995 25384 2509,0 94.8988 0,25,99
-35486 27744 922,0 14.9996 0,26,100
-35538 27877 921,0 5.99955 0,26,101
-35444 27604 923,0 19.9996 0,26,102
-35424 27466 922.548,0 17.9996 0,26,103
-8417 39532 1762.91,0 289 0,27,104
-8533 39475 1751.09,0 291 0,27,105
-8297 39573 1773.52,0 289 0,27,106
-8180 39597 1782.52,0 280 0,27,107
-25662 -40813 3174.9,0 14.9997 0,28,108
-25679 -40701 3156.93,0 14.9997 0,28,109
-25625 -40929 3191.59,0 14.9997 0,28,110
-25585 -41044 3171.22,0 14.9997 0,28,111
-29291 -34969 2484.87,0 70.8999 0,29,112
-29410 -34925 2475.84,0 70.8999 0,29,113
-29174 -35008 2494.58,0 70.8999 0,29,114
-29068 -35048 2499.99,0 70.8999 0,29,115
-37359 35798 1154,0 327.19 0,30,116
-37567 35475 1070,0 327.19 0,30,117
-37497 35582 1105,0 327.19 0,30,118
-37428 35690 1132,0 327.19 0,30,119
47904 -2336 3128,0 180 0,31,120
47904 -2496 3137,0 180 0,31,121
47904 -2208 3131,0 180 0,31,122
47904 -2048 3128,0 180 0,31,123
