alias,min_height,max_height,min_drop_height,max_drop_height,min_speed,max_speed,min_arrival_yaw,max_arrival_yaw,min_length,max_length,__END__
walk_jump_across,0,40,-10,50,0,85,-75,75,0,75,
walk_jump_across_90l,0,40,-10,50,0,85,75,105,0,75,
walk_jump_across_90r,0,40,-10,50,0,85,-105,-75,0,75,
fast_jump_across,0,40,-10,50,85,145,-75,75,0,85,
fast_jump_across_90l,0,40,-10,50,85,145,75,105,0,85,
fast_jump_across_90r,0,40,-10,50,85,145,-105,-75,0,85,
fast_mantle_over_down_md,10,50,70,110,60,145,-75,75,10,30,
fast_mantle_over_down_md_90l,10,50,70,110,60,145,75,105,10,30,
fast_mantle_over_down_md_90r,10,50,70,110,60,145,-105,-75,10,30,
fast_mantle_over_down_lg,30,70,90,160,60,145,-75,75,20,60,
fast_mantle_over_down_lg_90l,30,70,90,160,60,145,75,105,20,60,
fast_mantle_over_down_lg_90r,30,70,90,160,60,145,-105,-75,20,60,
fast_mantle_over_up_md,70,110,10,50,60,145,-75,75,10,40,
fast_mantle_over_up_md_90l,70,110,10,50,60,145,75,105,10,40,
fast_mantle_over_up_md_90r,70,110,10,50,60,145,-105,-75,10,40,
jog_mantle_over_down_md,10,50,70,110,145,300,-75,75,10,30,
jog_mantle_over_down_md_90l,10,50,70,110,145,300,75,105,10,30,
jog_mantle_over_down_md_90r,10,50,70,110,145,300,-105,-75,10,30,
jog_mantle_over_down_lg,30,70,120,160,145,300,-75,75,20,60,
jog_mantle_over_down_lg_90l,30,70,120,160,145,300,75,105,20,60,
jog_mantle_over_down_lg_90r,30,70,120,160,145,300,-105,-75,20,60,
jog_mantle_over_up_md,70,110,10,50,145,300,-75,75,10,40,
jog_mantle_over_up_md_90l,70,110,10,50,145,300,75,105,10,40,
jog_mantle_over_up_md_90r,70,110,10,50,145,300,-105,-75,10,40,
jog_jump_across,0,40,-10,50,145,300,-75,75,0,150,
jog_jump_across_90l,0,40,-10,50,145,300,75,105,0,150,
jog_jump_across_90r,0,40,-10,50,145,300,-105,-75,0,150,
jog_jump_across_slide,20,70,30,80,0,300,-75,75,40,150,
jog_jump_across_slide_90l,20,70,30,80,0,300,75,105,40,150,
jog_jump_across_slide_90r,20,70,30,80,0,300,-105,-75,40,150,
jog_mantle_down_72,0,10,80,256,145,300,-90,90,0,150,
fast_mantle_down_72,0,10,80,256,85,145,-90,105,0,150,
default,,,,,,,,,,,
__END__,,,,,,,,,,,
