default,REPLACE_ME,hud_icon_hardpoint_diamond
squad_0,MP/SQUAD_SPAWN_SELECTION,
squad_1,MP/SQUAD_SPAWN_SELECTION,
squad_2,MP/SQUAD_SPAWN_SELECTION,
squad_3,MP/SQUAD_SPAWN_SELECTION,
squad_leader,MP/SQUAD_LEADER_SPAWN_SELECTION,
dynamic_c130,MP/SQUAD_SPAWN_SELECTION,hud_icon_killstreak_ac130
spawn_selection_a,MP/SQUAD_SPAWN_SELECTION,icon_waypoint_status_plate
spawn_selection_b,MP/SQUAD_SPAWN_SELECTION,icon_waypoint_status_plate
spawn_selection_c,MP/SQUAD_SPAWN_SELECTION,icon_waypoint_status_plate
spawn_selection_d,MP/SQUAD_SPAWN_SELECTION,icon_waypoint_status_plate
spawn_selection_e,MP/SQUAD_SPAWN_SELECTION,icon_waypoint_status_plate
gw_fob_alliesHQ,MP_ARM/HQ,icon_waypoint_ground_war_circle
gw_fob_axisHQ,MP_ARM/HQ,icon_waypoint_ground_war_circle
gw_fob_01,MP_ARM/FOB,icon_waypoint_status_plate
gw_fob_02,MP_ARM/FOB,icon_waypoint_status_plate
gw_fob_03,MP_ARM/FOB,icon_waypoint_status_plate
gw_fob_04,MP_ARM/FOB,icon_waypoint_status_plate
gw_fob_05,MP_ARM/FOB,icon_waypoint_status_plate
gw_fob_06,MP_ARM/FOB,icon_waypoint_status_plate
gw_fob_07,MP_ARM/FOB,icon_waypoint_status_plate
gw_fob_08,MP_ARM/FOB,icon_waypoint_status_plate
gw_fob_09,MP_ARM/FOB,icon_waypoint_status_plate
gw_fob_01_locale_3,MP_PORT2_GW/CALLOUT_LUMBER,icon_waypoint_status_plate
gw_fob_02_locale_3,MP_PORT2_GW/CALLOUT_BODYSHOP,icon_waypoint_status_plate
gw_fob_03_locale_3,MP_PORT2_GW/CALLOUT_VACANT,icon_waypoint_status_plate
gw_fob_04_locale_3,MP_PORT2_GW/CALLOUT_PROCESSING_CENTER,icon_waypoint_status_plate
gw_fob_05_locale_3,MP_PORT2_GW/CALLOUT_STORAGE,icon_waypoint_status_plate
