mp_fort,mpfortimage
mp_embassy,mpembassyimage
mp_hydro,mphydroimage
mp_wartorn,mpwartornimage
mp_wartorn_gw,mpwartorngwimage
mp_fishtown_gw,mpfishtowngwimage
mp_sira_gw,mpsiragwimage
mp_crossing,mpcrossingimage
mp_catedral,mpcatedralimage
mp_swap_meet,mpswapmeetimage
mp_nogales_gw2,mpnogalesgw2image
mp_historic_gw2,mphistoricgw2image
mp_grandprix_pm_2,mpgrandprixpm2image
mp_luxury,mpluxuryimage
mp_farm_18,mpfarm18image
mp_saba,mpsabaimage
mp_futbol,mpfutbolimage
mp_shipment_iw9,mpshipmentimage
mp_shoothouse2,mpshoothouseimage
mp_bio_lab,mpbiolabimage
cp_hydro,cphydroimage
cp_mission_esc,cpmissionescimage
cp_observatory,cpobservatoryimage
cp_high_ground,cphighgroundimage
cp_raid1,cpraid1image
mp_ship_xmas,mpshipxmasimage
mp_museum,mpmuseumimage
mp_sealion,mpsealionimage 
mp_observatory,mpobservatory
mp_observe_gw,mpobservegw
mp_regional_gw,mpregionalgw
mp_saba2,mpsaba2
mp_davos,mpdavos
mp_skerries_v2,mpskerriesv2
mp_m_alley,mpmalley
mp_m_blacksite2,mpmblacksite2
mp_m_exhibit,mpmexhibit
mp_oilfield_6v6,mpoilfield6v6
mp_oilfield_gw,mpoilfieldgw
mp_caves_gw,mpcavesgw
cp_raid1_trap,cpraid1trap
cp_lone,cploneimage
sp_strike,spstrikeimage
sp_nightwar,spnightwarimage
sp_marina,spmarinaimage
sp_montage_canals,spmontagecanalsimage
sp_border,spborderimage
sp_backstabbed,spbackstabbedimage
sp_gunship_ambush,spgunshipambushimage
sp_gunship_compound,spgunshipcompoundimage
sp_intercept,spinterceptimage
sp_convoy,spconvoyimage
sp_party,sppartyimage
sp_shipaf,spshipafimage
sp_wounded,spwoundedimage
sp_prison,spprisonimage
sp_stolen,spstolenimage
sp_shadowbase,spshadowbaseimage
sp_tower,sptowerimage
mp_intercept,mpinterceptimage
cp_raid1_boss1,cpraid1boss1image
mp_showdown2,mpshowdown2image
mp_townhouses,mptownhousesimage
mp_dogtown_gw,mpdogtowngwimage
mp_forsaken_gw,mpforsakengwimage
mp_m_penthouse,mpmpenthouseimage
mp_m_mercado,mpmmercadoimage
mp_delta,mpdeltaimage
mp_floatinghouses,mpfloatinghousesimage
cp_jugg_maze,cpjuggmazeimage
mp_bounty,mpbountyimage
mp_strike,mpstrikeimage
mp_m_canal,mpmcanalimage
mp_m_lounge,mpmloungeimage
mp_arn_zone1,mparnzone1image
mp_narcos,mpnarcosimage
mp_toujane2,mptoujane2image
mp_m_king,mpmkingimage
mp_m_fight,mpmfightimage
mp_catedral_hlwn,mpcatedralhlwnimage
mp_embassy_hlwn,mpembassyhlwnimage
mp_jup_afghan_v2,mpafghanimage
mp_jup_derail,mpjupderailimage
mp_jup_estate,mpjupestateimage
mp_jup_favela,mpjupfavelaimage
mp_jup_greece,mpjupgreeceimage
mp_jup_highrise,mpjuphighriseimage
mp_jup_invasion,mpjupinvasionimage
mp_jup_karachi,mpjupkarachiimage
mp_jup_quarry,mpjupquarryimage
mp_jup_rundown,mpjuprundownimage
mp_jup_rust,mpjuprustimage
mp_jup_scrapyard,mpjupscrapyardimage
mp_jup_skidrow,mpjupskidrowimage
mp_jup_subbase,mpjupsubbaseimage
mp_jup_terminal,mpjupterminalimage
mp_jup_underpass,mpjupunderpassimage
mp_jup_wasteland,mpjupwastelandimage
mp_jup_bigmap,objupbigmapimage
mp_jup_bigmap_wz,mpjupbigmapimage
cp_jup_port,cpjupportimage
cp_jup_chemical,cpjupchemicalimage
cp_jup_ranch,cpjupcrashimage
cp_jup_resort,cpjupresortimage
cp_jup_apt,cpjupaptimage
cp_jup_dam,cpjupdamimage
sp_jup_vip,spjupvipimage
sp_jup_silo,spjupsiloimage
sp_jup_milbase,spjupmilbaseimage
sp_jup_hijack,spjuphijackimage
sp_jup_flashback,spjupflashbackimage
sp_jup_tundra,spjuptundraimage
sp_jup_gunship,spjupgunshipimage
sp_jup_surge,spjupsurgeimage
