8771,iw9_ch_stcrbook_kill_kills,CHALLENGE/STCRBOOK_KILL_KILLS,CHALLENGE/STCRBOOK_KILL_KILLS_DESC,50|100|250|500|1000|2500|5000|10000,6086|6608|6776|6354|6302|6058|6155|6198,500|750|1000|1500|2000|3000|5000|10000,1,1,,,,,,BP|BR|MP|RBR|RMP
8772,iw9_ch_stcrbook_kill_assist,CHALLENGE/STCRBOOK_KILL_ASSIST,CHALLENGE/STCRBOOK_KILL_ASSIST_DESC,50|100|250|500|1000|2500,6399|6517|6219|6056|6462|6843,500|1000|2000|3000|5000|10000,2,1,,,,,,BP|BR|MP|RBR|RMP
8773,iw9_ch_stcrbook_kill_lethal,CHALLENGE/STCRBOOK_KILL_LETHAL,CHALLENGE/STCRBOOK_KILL_LETHAL_DESC,25|50|100|250|500|1000,6374|6401|6558|6664|6040|6195,500|1000|2000|3000|5000|10000,3,1,,,,,,BP|BR|MP|RBR|RMP
8774,iw9_ch_stcrbook_kill_headshot,CHALLENGE/STCRBOOK_KILL_HEADSHOT,CHALLENGE/STCRBOOK_KILL_HEADSHOT_DESC,50|100|250|500|1000|2500,6066|6671|6667|6418|6319|6927,500|1000|2000|3000|5000|10000,4,1,,,,,,BP|BR|MP|RBR|RMP
8775,iw9_ch_stcrbook_kill_double,CHALLENGE/STCRBOOK_KILL_DOUBLE,CHALLENGE/STCRBOOK_KILL_DOUBLE_DESC,25|50|100|250|500|1000,6265|6394|6250|6417|6192|6107,500|1000|2000|3000|5000|10000,5,1,,,,,,BP|BR|MP|RBR|RMP
8776,iw9_ch_stcrbook_kill_longshot,CHALLENGE/STCRBOOK_KILL_LONGSHOT,CHALLENGE/STCRBOOK_KILL_LONGSHOT_DESC,50|100|250|500|1000|2500,6573|6823|6077|6550|6813|6942,500|1000|2000|3000|5000|10000,6,1,,,,,,BP|BR|MP|RBR|RMP
8777,iw9_ch_stcrbook_kill_hipfire,CHALLENGE/STCRBOOK_KILL_HIPFIRE,CHALLENGE/STCRBOOK_KILL_HIPFIRE_DESC,50|100|250|500|1000|2500,7003|6572|6844|6335|6035|6987,500|1000|2000|3000|5000|10000,7,1,,,,,,BP|BR|MP|RBR|RMP
8778,iw9_ch_stcrbook_kill_melee,CHALLENGE/STCRBOOK_KILL_MELEE,CHALLENGE/STCRBOOK_KILL_MELEE_DESC,25|50|100|250|500|1000,6395|6781|6764|6241|6152|6745,500|1000|2000|3000|5000|10000,8,1,,,,,,BP|BR|MP|RBR|RMP
8779,iw9_ch_stcrbook_kill_finishing_move,CHALLENGE/STCRBOOK_KILL_FINISHING_MOVE,CHALLENGE/STCRBOOK_KILL_FINISHING_MOVE_DESC,5|10|25|50|100|250,6368|6600|6197|6587|6739|6318,500|1000|2000|3000|5000|10000,9,1,,,,,,BP|BR|MP|RBR|RMP
8780,iw9_ch_stcrbook_kill_killstreak_3,CHALLENGE/STCRBOOK_KILL_KILLSTREAK_3,CHALLENGE/STCRBOOK_KILL_KILLSTREAK_3_DESC,25|50|100|250|500|1000,6256|6123|6033|6459|6842|6110,500|1000|2000|3000|5000|10000,10,1,,,,,,BP|BR|MP|RBR|RMP
8781,iw9_ch_stcrbook_mode_defence_kill,CHALLENGE/STCRBOOK_MODE_DEFENCE_KILL,CHALLENGE/STCRBOOK_MODE_DEFENCE_KILL_DESC,50|100|250|500|1000|2500,6633|6315|7004|6099|6598|6236,500|1000|2000|3000|5000|10000,11,1,,,,,,MP|RMP
8782,iw9_ch_stcrbook_mode_assault_kill,CHALLENGE/STCRBOOK_MODE_ASSAULT_KILL,CHALLENGE/STCRBOOK_MODE_ASSAULT_KILL_DESC,50|100|250|500|1000|2500,6658|6172|6363|6948|6158|6482,500|1000|2000|3000|5000|10000,12,1,,,,,,MP|RMP
8783,iw9_ch_stcrbook_mode_kill_enemy_in_vehicle,CHALLENGE/STCRBOOK_MODE_KILL_ENEMY_IN_VEHICLE,CHALLENGE/STCRBOOK_MODE_KILL_ENEMY_IN_VEHICLE_DESC,5|10|25|50|100|250,6944|6670|6994|6147|6083|6570,500|1000|2000|3000|5000|10000,13,1,,,,,,BP|BR|MP|RBR|RMP
8784,iw9_ch_stcrbook_mode_win_match,CHALLENGE/STCRBOOK_MODE_WIN_MATCH,CHALLENGE/STCRBOOK_MODE_WIN_MATCH_DESC,25|50|100|250|500|1000,6778|6068|6583|6998|6115|6996,500|1000|2000|3000|5000|10000,14,1,,,,,,MP|RMP
8794,compound_iw9_ae_kind_sticker_book_1_kills,CHALLENGE/STICKERBOOK_MASTERY_1_KILLS,CHALLENGE/STICKERBOOK_MASTERY_1_KILLS_DESC,1,6489,10000,1,2,8771,,,,,
8795,compound_iw9_ae_kind_sticker_book_2_assist,CHALLENGE/STICKERBOOK_MASTERY_2_ASSIST,CHALLENGE/STICKERBOOK_MASTERY_2_ASSIST_DESC,1,6539,10000,2,2,8772,,,,,
8796,compound_iw9_ae_kind_sticker_book_3_lethal,CHALLENGE/STICKERBOOK_MASTERY_3_LETHAL,CHALLENGE/STICKERBOOK_MASTERY_3_LETHAL_DESC,1,6749,10000,3,2,8773,,,,,
8797,compound_iw9_ae_kind_sticker_book_4_headshot,CHALLENGE/STICKERBOOK_MASTERY_4_HEADSHOT,CHALLENGE/STICKERBOOK_MASTERY_4_HEADSHOT_DESC,1,6154,10000,4,2,8774,,,,,
8798,compound_iw9_ae_kind_sticker_book_5_double,CHALLENGE/STICKERBOOK_MASTERY_5_DOUBLE,CHALLENGE/STICKERBOOK_MASTERY_5_DOUBLE_DESC,1,6136,10000,5,2,8775,,,,,
8799,compound_iw9_ae_kind_sticker_book_6_longshot,CHALLENGE/STICKERBOOK_MASTERY_6_LONGSHOT,CHALLENGE/STICKERBOOK_MASTERY_6_LONGSHOT_DESC,1,6097,10000,6,2,8776,,,,,
8800,compound_iw9_ae_kind_sticker_book_7_hipfire,CHALLENGE/STICKERBOOK_MASTERY_7_HIPFIRE,CHALLENGE/STICKERBOOK_MASTERY_7_HIPFIRE_DESC,1,6825,10000,7,2,8777,,,,,
8801,compound_iw9_ae_kind_sticker_book_8_melee,CHALLENGE/STICKERBOOK_MASTERY_8_MELEE,CHALLENGE/STICKERBOOK_MASTERY_8_MELEE_DESC,1,6430,10000,8,2,8778,,,,,
8802,compound_iw9_ae_kind_sticker_book_9_finishing_move,CHALLENGE/STICKERBOOK_MASTERY_9_FINISHING_MOVE,CHALLENGE/STICKERBOOK_MASTERY_9_FINISHING_MOVE_DESC,1,6016,10000,9,2,8779,,,,,
8803,compound_iw9_ae_kind_sticker_book_10_killstreak_3,CHALLENGE/STICKERBOOK_MASTERY_10_KILLSTREAK_3,CHALLENGE/STICKERBOOK_MASTERY_10_KILLSTREAK_3_DESC,1,6410,10000,10,2,8780,,,,,
8804,compound_iw9_ae_kind_sticker_book_11_defence_kill,CHALLENGE/STICKERBOOK_MASTERY_11_DEFENCE_KILL,CHALLENGE/STICKERBOOK_MASTERY_11_DEFENCE_KILL_DESC,1,6074,10000,11,2,8781,,,,,
8805,compound_iw9_ae_kind_sticker_book_12_assault_kill,CHALLENGE/STICKERBOOK_MASTERY_12_ASSAULT_KILL,CHALLENGE/STICKERBOOK_MASTERY_12_ASSAULT_KILL_DESC,1,6213,10000,12,2,8782,,,,,
8806,compound_iw9_ae_kind_sticker_book_13_kill_enemy_in_vehicle,CHALLENGE/STICKERBOOK_MASTERY_13_KILL_ENEMY_IN_VEHICLE,CHALLENGE/STICKERBOOK_MASTERY_13_KILL_ENEMY_IN_VEHICLE_DESC,1,6622,10000,13,2,8783,,,,,
8807,compound_iw9_ae_kind_sticker_book_14_win_match,CHALLENGE/STICKERBOOK_MASTERY_14_WIN_MATCH,CHALLENGE/STICKERBOOK_MASTERY_14_WIN_MATCH_DESC,1,6771,10000,14,2,8784,,,,,
8901,iw9_ch_stcrbook_dmz_exfil,CHALLENGE/STCRBOOK_DMZ_EXFIL,CHALLENGE/STCRBOOK_DMZ_EXFIL_DESC,5|10|25|50|100|250,6647|6150|6788|6050|6369|6253,500|1000|2000|3000|5000|10000,15,1,,,,,,BP|BR|RBR
8902,iw9_ch_stcrbook_dmz_exfil_cash,CHALLENGE/STCRBOOK_DMZ_EXFIL_CASH,CHALLENGE/STCRBOOK_DMZ_EXFIL_CASH_DESC,100000|500000|1000000|1500000|2000000|2500000,6474|6181|6756|6867|6507|6635,500|1000|2000|3000|5000|10000,16,1,,,,,,BP|BR|RBR
8903,iw9_ch_stcrbook_dmz_activate_uav_tower,CHALLENGE/STCRBOOK_DMZ_ACTIVATE_UAV_TOWER,CHALLENGE/STCRBOOK_DMZ_ACTIVATE_UAV_TOWER_DESC,1|5|10|25|50|100,6907|6596|6425|7002|6018|6725,500|1000|2000|3000|5000|10000,17,1,,,,,,BP|BR|RBR
8904,iw9_ch_stcrbook_dmz_contracts,CHALLENGE/STCRBOOK_DMZ_CONTRACTS,CHALLENGE/STCRBOOK_DMZ_CONTRACTS_DESC,10|25|50|100|250|500,6533|6891|6245|6936|6646|6180,500|1000|2000|3000|5000|10000,18,1,,,,,,BP|BR|RBR
8905,iw9_ch_stcrbook_dmz_stronghold_bosses,CHALLENGE/STCRBOOK_DMZ_STRONGHOLD_BOSSES,CHALLENGE/STCRBOOK_DMZ_STRONGHOLD_BOSSES_DESC,1|5|10|25|50|100,6822|6021|6129|6259|6953|6668,500|1000|2000|3000|5000|10000,19,1,,,,,,BP|BR|RBR
