1W,1W,
34RC,34RC,
3ARC,3ARC,[{3arc}]
5HG,5HG,
AB,AB,
ACES,ACES,
ATVI,ATVI,[{atvi}]
BL1Z,BL1Z,
BL1ZZ,BL1ZZ,
BLIZ,BLIZ,
BLIZZ,BLIZZ,[{blizz}]
BLLZ,BLLZ,
BLLZZ,BLLZZ,
BN0X,BN0X,
BNET,BNET,
BNOX,BNOX,[{bnox}]
BNX,BNX,
BX,BX,
COD,COD,
CODE,CODE,
CODUK,CODUK,
DEV,DEV,
DL,DL,[{dl}]
DW,DW,[{dw}]
HMS,HMS,[{hms}]
IW,IW,[{iw}]
IWDev,IWDev,
K1NG,K1NG,
KING,KING,[{king}]
KLNG,KLNG,
LOCS,LOCS,
LW,LW,
MLG,MLG,
MS,MS,
OW,OW,
PMG,PMG,
QA,QA,
R4VEN,R4VEN,
RAVEN,RAVEN,
RAVN,RAVN,
RVN,RVN,[{rvn}]
SS,SS,
SSS,SSS,[{sss}]
SH,SH,
SHA,SHA,[{sha}]
SHG,SHG,[{shg}]
SONY,SONY,
TFB,TFB,[{tfb}]
TOYS,TOYS,
VV,VV,[{vv}]
