0,none,1,default,default,,0,CAMOS/DEFAULT,menu_default_slot,1
1,camo_a_01,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
2,camo_a_02,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
3,camo_a_03,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
4,camo_a_04,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
5,camo_a_05,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
6,camo_a_06,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
7,camo_a_07,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
8,camo_a_08,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
9,camo_a_09,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
10,camo_a_10,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
11,camo_a_11,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
12,camo_a_12,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
13,camo_a_13,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
14,camo_a_14,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
15,camo_a_15,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
16,camo_b_01,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
17,camo_b_02,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
18,camo_b_03,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
19,camo_b_04,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
20,camo_b_05,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
21,camo_b_06,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
22,camo_b_07,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
23,camo_b_08,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
24,camo_b_09,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
25,camo_b_10,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
26,camo_b_11,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
27,camo_b_12,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
28,camo_b_13,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
29,camo_b_14,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
30,camo_b_15,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
