alias,min_height,max_height,min_drop_height,max_drop_height,min_arrival_yaw,max_arrival_yaw,min_length,max_length,__END__
jog_jump_across_sm,0,18,0,18,-75,75,0,35,
jog_jump_across_sm_90l,0,18,0,18,75,90,0,35,
jog_jump_across_sm_90r,0,18,0,18,-90,-75,0,35,
jog_jump_across_md,18,34,18,34,-75,75,0,35,
jog_jump_across_md_90l,18,34,18,34,75,90,0,35,
jog_jump_across_md_90r,18,34,18,34,-90,-75,0,35,
jog_jump_across_lg,34,96,0,48,-75,75,0,35,
jog_jump_across_lg_90l,34,96,0,48,75,90,0,35,
jog_jump_across_lg_90r,34,96,0,48,-90,-75,0,35,
jog_jump_across_xlg,96,150,0,72,-75,75,0,35,
jog_jump_across_xlg_90l,96,150,0,72,75,90,0,35,
jog_jump_across_xlg_90r,96,150,0,72,-90,-75,0,35,
jog_jump_across_slide_sm,34,47,34,47,-75,75,35,48,
jog_jump_across_slide_sm_90l,34,47,34,47,75,90,35,48,
jog_jump_across_slide_sm_90r,34,47,34,47,-90,-75,35,48,
jog_jump_across_slide_md,47,60,47,60,-75,75,35,48,
jog_jump_across_slide_md_90l,47,60,47,60,75,90,35,48,
jog_jump_across_slide_md_90r,47,60,47,60,-90,-75,35,48,
jog_jump_across_slide_lg,60,96,60,96,-75,75,54,96,
jog_jump_across_slide_lg_90l,60,96,60,96,75,90,54,96,
jog_jump_across_slide_lg_90r,60,96,60,96,-90,-75,54,96,
jog_jump_across_slide_xlg,96,210,96,210,-75,75,96,150,
jog_jump_across_slide_xlg_90l,96,210,96,210,75,90,96,150,
jog_jump_across_slide_xlg_90r,96,210,96,210,-90,-75,96,150,
default,,,,,,,,,
__END__,,,,,,,,,
